F, [2015-04-07T21:26:50.987294 #25721] FATAL -- default-centos65: The `berkshelf' gem is missing and must be installed or cannot be properly activated. Run `gem install berkshelf` or add the following to your Gemfile if you are using Bundler: `gem 'berkshelf'`.
E, [2015-04-07T21:53:43.135516 #38164] ERROR -- default-centos65: Class: Kitchen::ActionFailed
E, [2015-04-07T21:53:43.135537 #38164] ERROR -- default-centos65: Message: SSH exited (1) for command: [sh -c '
sudo -E /opt/chef/bin/chef-client --local-mode --config /tmp/kitchen/client.rb --log_level auto --force-formatter --no-color --chef-zero-port 8889 --json-attributes /tmp/kitchen/dna.json
']
E, [2015-04-07T21:53:43.135590 #38164] ERROR -- default-centos65: ---Nested Exception---
E, [2015-04-07T21:53:43.135610 #38164] ERROR -- default-centos65: Class: Kitchen::SSHFailed
E, [2015-04-07T21:53:43.135629 #38164] ERROR -- default-centos65: Message: SSH exited (1) for command: [sh -c '
sudo -E /opt/chef/bin/chef-client --local-mode --config /tmp/kitchen/client.rb --log_level auto --force-formatter --no-color --chef-zero-port 8889 --json-attributes /tmp/kitchen/dna.json
']
E, [2015-04-07T21:53:43.135658 #38164] ERROR -- default-centos65: ------Backtrace-------
E, [2015-04-07T21:53:43.135676 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/driver/ssh_base.rb:152:in `rescue in run_remote'
E, [2015-04-07T21:53:43.135695 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/driver/ssh_base.rb:148:in `run_remote'
E, [2015-04-07T21:53:43.135713 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/driver/ssh_base.rb:50:in `block in converge'
E, [2015-04-07T21:53:43.135732 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/ssh.rb:70:in `initialize'
E, [2015-04-07T21:53:43.135750 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/driver/ssh_base.rb:45:in `new'
E, [2015-04-07T21:53:43.135768 #38164] ERROR -- default-centos65: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/driver/ssh_base.rb:45:in `converge'
